Date,BY
1962/1/2,1
1962/1/3,0.999578809
1962/1/4,0.999375473
1962/1/5,1.000410631
1962/1/8,1.000173478
1962/1/9,1.000306746
1962/1/10,1.000313247
1962/1/11,1.000165829
1962/1/12,1.000009948
1962/1/15,1.000293363
1962/1/16,1.00045351
1962/1/17,0.999881647
1962/1/18,0.999846919
1962/1/19,0.999990814
1962/1/22,0.999706134
1962/1/23,1.000274495
1962/1/24,0.999870181
1962/1/25,1.000138233
1962/1/26,1.000008293
1962/1/29,1.000146149
1962/1/30,0.999862822
1962/1/31,0.999845431
1962/2/1,0.999844027
1962/2/2,0.999843583
1962/2/5,0.999843195
1962/2/6,0.999842809
1962/2/7,1.000138029
1962/2/8,1.000008281
1962/2/9,0.99970429
1962/2/13,0.999684497
1962/2/14,0.999981064
1962/2/15,0.99984963
1962/2/16,0.999990977
1962/2/19,0.999849854
1962/2/20,1.000584012
1962/2/21,0.999737496
1962/2/23,0.99983498
1962/2/26,0.999690144
1962/2/27,1.000131092
1962/2/28,0.999857904
1962/3/1,0.999690019
1962/3/2,0.999981396
1962/3/5,1.000298979
1962/3/6,1.000167543
1962/3/7,0.999860096
1962/3/8,0.999690151
1962/3/9,0.999678383
1962/3/12,0.999676135
1962/3/13,0.999674446
1962/3/14,1.0001332
1962/3/15,1.00046269
1962/3/16,1.000027749
1962/3/19,0.999543871
1962/3/20,0.999665686
1962/3/21,0.999203108
1962/3/22,0.999482068
1962/3/23,1.000589732
1962/3/26,1.000343783
1962/3/27,1.000174444
1962/3/28,1.000010465
1962/3/29,1.000000628
1962/3/30,0.999378663
1962/4/2,0.999962698
1962/4/3,0.999527993
1962/4/4,0.999178316
1962/4/5,1.00088972
1962/4/6,0.99958149
1962/4/9,1.000288409
1962/4/10,1.0000173
1962/4/11,1.000621568
1962/4/12,0.999881941
1962/4/13,0.99983708
1962/4/16,0.999676961
1962/4/17,0.999823524
1962/4/18,0.99983193
1962/4/19,1.00014703
1962/4/23,1.000630889
1962/4/24,1.000192808
1962/4/25,1.000166203
1962/4/26,1.000164214
1962/4/27,0.999543815
1962/4/30,0.999972617
1962/5/1,0.999842533
1962/5/2,1.000146037
1962/5/3,1.000008761
1962/5/4,1.000155587
1962/5/7,0.999853939
1962/5/8,0.999835395
1962/5/9,0.999519072
1962/5/10,1.00012788
1962/5/11,0.999850646
1962/5/14,1.00045885
1962/5/15,1.000337568
1962/5/16,0.999864878
1962/5/17,1.000146973
1962/5/18,1.000925569
1962/5/21,1.000207669
1962/5/22,0.999859837
1962/5/23,0.99968474
1962/5/24,0.999827214
1962/5/25,0.999680401
1962/5/28,0.99982576
1962/5/29,1.00029817
1962/5/31,1.000171715
1962/6/1,0.999856107
1962/6/4,0.99983673
1962/6/5,1.00014449
1962/6/6,1.000008668
1962/6/7,0.999690541
1962/6/8,0.999825968
1962/6/11,1.000144643
1962/6/12,0.999853281
1962/6/13,1.000146278
1962/6/14,1.000470468
1962/6/15,0.999874062
1962/6/18,1.000299476
1962/6/19,1.00032332
1962/6/20,0.999866399
1962/6/21,0.999684349
1962/6/22,0.999981055
1962/6/25,1.000758947
1962/6/26,1.000347661
1962/6/27,0.999869407
1962/6/28,1.000293797
1962/6/29,1.000317635
1962/7/2,1.000019052
1962/7/3,1.000001143
1962/7/5,1.000000069
1962/7/6,1.000298601
1962/7/9,1.000462436
1962/7/10,0.999580355
1962/7/11,0.99952372
1962/7/12,1.000121496
1962/7/13,1.000007289
1962/7/16,1.000150085
1962/7/17,1.00030682
1962/7/18,0.999869213
1962/7/19,0.999992152
1962/7/20,0.999849925
1962/7/23,0.999840997
1962/7/24,1.000140128
1962/7/25,1.000157664
1962/7/26,0.999859876
1962/7/27,1.000140886
1962/7/30,1.000157339
1962/7/31,1.000157955
1962/8/1,0.999860635
1962/8/2,0.999541784
1962/8/3,1.000122204
1962/8/6,1.000007331
1962/8/7,1.000149715
1962/8/8,0.999859398
1962/8/9,0.999690864
1962/8/10,0.999981446
1962/8/13,0.999998887
1962/8/14,0.999849202
1962/8/15,0.999990951
1962/8/16,0.999696516
1962/8/17,0.999981786
1962/8/20,0.999694426
1962/8/21,0.99998166
1962/8/22,1.000150824
1962/8/23,1.000009048
1962/8/24,1.000000543
1962/8/27,1.000000033
1962/8/28,1.00015154
1962/8/29,1.000009091
1962/8/30,0.999848671
1962/8/31,1.000142477
1962/9/4,1.000008547
1962/9/5,1.000151668
1962/9/6,1.000309901
1962/9/7,1.000317848
1962/9/10,0.99986913
1962/9/11,0.999992147
1962/9/12,0.999999529
1962/9/13,0.999849618
1962/9/14,0.999990976
1962/9/17,0.999999459
1962/9/18,0.999849236
1962/9/19,1.000141371
1962/9/20,0.999857769
1962/9/21,0.999991465
1962/9/24,0.999848376
1962/9/25,0.999839389
1962/9/26,0.999838465
1962/9/27,0.999990306
1962/9/28,0.999847156
1962/10/1,0.999838159
1962/10/2,0.999837228
1962/10/3,0.999682591
1962/10/4,0.99998095
1962/10/5,1.000305078
1962/10/8,1.000170954
1962/10/9,1.0003141
1962/10/10,0.999713674
1962/10/11,1.000135162
1962/10/15,1.000008109
1962/10/16,1.000000487
1962/10/17,1.000000029
1962/10/18,0.999693973
1962/10/19,0.999363292
1962/10/22,1.000422603
1962/10/23,1.000482238
1962/10/24,1.000028921
1962/10/25,1.000001735
1962/10/26,0.999847456
1962/10/29,0.999837788
1962/10/30,0.999990266
1962/10/31,0.999999416
1962/11/1,0.999999965
1962/11/2,0.999846569
1962/11/5,0.999990793
1962/11/7,0.999999448
1962/11/8,0.999846144
1962/11/9,0.999836529
1962/11/13,1.000144082
1962/11/14,1.000162101
1962/11/15,1.000009725
1962/11/16,1.000306018
1962/11/19,1.000018356
1962/11/20,1.000001101
1962/11/21,0.999847028
1962/11/23,0.99999082
1962/11/26,1.000152146
1962/11/27,0.99985611
1962/11/28,0.999991365
1962/11/29,0.999999482
1962/11/30,0.999999969
1962/12/3,1.000152693
1962/12/4,1.000161447
1962/12/5,0.999857059
1962/12/6,0.999838365
1962/12/7,0.999836849
1962/12/10,0.999836365
1962/12/11,0.99983594
1962/12/12,0.999835517
1962/12/13,0.99999013
1962/12/14,0.999844392
1962/12/17,0.999679028
1962/12/18,0.99966743
1962/12/19,1.00013636
1962/12/20,0.999851566
1962/12/21,0.99967619
1962/12/24,0.999663953
1962/12/26,0.999979831
1962/12/27,1.000313855
1962/12/28,1.000487666
1962/12/31,1.000185048
1963/1/2,0.999540195
1963/1/3,0.999814881
1963/1/4,1.000457937
1963/1/7,0.999870894
1963/1/8,0.999677355
1963/1/9,1.000137773
1963/1/10,0.999850829
1963/1/11,0.999833158
1963/1/14,1.000147516
1963/1/15,0.999851
1963/1/16,0.999991059
1963/1/17,1.000313701
1963/1/18,1.000331328
1963/1/21,1.000175696
1963/1/22,1.000165981
1963/1/23,1.000009957
1963/1/24,1.000000597
1963/1/25,0.999844216
1963/1/28,1.000146137
1963/1/29,1.000008767
1963/1/30,1.000000526
1963/1/31,1.000155094
1963/2/1,1.000163946
1963/2/4,1.000164078
1963/2/5,1.000163691
1963/2/6,1.000163274
1963/2/7,1.000009795
1963/2/8,1.000000588
1963/2/11,1.00015312
1963/2/13,1.000009186
1963/2/14,0.999847123
1963/2/15,0.999990826
1963/2/18,0.99999945
1963/2/19,1.000305404
1963/2/20,1.000170586
1963/2/21,1.000162132
1963/2/25,1.000009726
1963/2/26,1.000000584
1963/2/27,1.000000035
1963/2/28,0.999847741
1963/3/1,0.999838194
1963/3/4,0.999837231
1963/3/5,0.999990232
1963/3/6,0.999845983
1963/3/7,1.000143863
1963/3/8,1.000008631
1963/3/11,1.000000518
1963/3/12,1.000000031
1963/3/13,1.000000002
1963/3/14,1
1963/3/15,1
1963/3/18,1
1963/3/19,1
1963/3/20,1
1963/3/21,1
1963/3/22,1.000152695
1963/3/25,1.000161447
1963/3/26,1.000312764
1963/3/27,1.00001876
1963/3/28,1.000001126
1963/3/29,0.999848192
1963/4/1,0.99999089
1963/4/2,1.000150993
1963/4/3,1.000009058
1963/4/4,0.999848669
1963/4/5,0.999990919
1963/4/8,1.000301816
1963/4/9,1.00016884
1963/4/10,1.000310174
1963/4/11,1.000018605
1963/4/15,1.000150762
1963/4/16,0.999859087
1963/4/17,0.999991544
1963/4/18,0.999849138
1963/4/19,0.999688731
1963/4/22,0.999981318
1963/4/23,0.999998879
1963/4/24,0.99984844
1963/4/25,0.999839009
1963/4/26,0.999990339
1963/4/29,0.99999942
1963/4/30,0.999999965
1963/5/1,0.999847737
1963/5/2,0.999990863
1963/5/3,0.999846802
1963/5/6,0.999837748
1963/5/7,0.999836812
1963/5/8,1.000143314
1963/5/9,1.000161273
1963/5/10,1.000009675
1963/5/13,0.999847544
1963/5/14,0.999837402
1963/5/15,0.999990243
1963/5/16,0.999845591
1963/5/17,1.000296992
1963/5/20,1.00017047
1963/5/21,0.999857212
1963/5/22,0.999991432
1963/5/23,1.000152182
1963/5/24,1.000312979
1963/5/27,1.000018773
1963/5/28,1.000152662
1963/5/29,1.000009158
1963/5/31,1.00000055
1963/6/3,1.000301631
1963/6/4,1.000018093
1963/6/5,1.000001086
1963/6/6,1.000150464
1963/6/7,1.000009027
1963/6/10,1.000000542
1963/6/11,0.999849302
1963/6/12,1.000141375
1963/6/13,1.000008481
1963/6/14,1.000000509
1963/6/17,1.000150053
1963/6/18,1.000009002
1963/6/19,1.00000054
1963/6/20,1.000000032
1963/6/21,1.000000002
1963/6/24,1
1963/6/25,1
1963/6/26,1
1963/6/27,1
1963/6/28,1
1963/7/1,1.000149648
1963/7/2,1.000306794
1963/7/3,1.000018402
1963/7/5,1.000149639
1963/7/8,1.000157128
1963/7/9,0.999860954
1963/7/10,0.999842777
1963/7/11,1.000139123
1963/7/12,0.999859503
1963/7/15,0.999842319
1963/7/16,0.999990538
1963/7/17,1.000148339
1963/7/18,0.999859687
1963/7/19,0.99999158
1963/7/22,0.999999495
1963/7/23,0.99999997
1963/7/24,0.999850395
1963/7/25,0.999991022
1963/7/26,0.999698798
1963/7/29,0.999981923
1963/7/30,1.00014894
1963/7/31,1.000008935
1963/8/1,0.999850184
1963/8/2,0.99999101
1963/8/5,0.999999461
1963/8/6,1.00014999
1963/8/7,1.000158627
1963/8/8,0.99985956
1963/8/9,0.999991572
1963/8/12,1.000149144
1963/8/13,1.000158204
1963/8/14,1.000009491
1963/8/15,0.999850967
1963/8/16,0.99984106
