Date,DP
2017-09-29,0.0187
2017-06-30,0.0194
2017-05-31,0.0197
2017-04-30,0.0198
2017-03-31,0.0196
2017-02-28,0.0198
2017-01-31,0.0202
2016-12-31,0.0203
2016-11-30,0.021
2016-10-31,0.0211
2016-09-30,0.0209
2016-08-31,0.0207
2016-07-31,0.0208
2016-06-30,0.0213
2016-05-31,0.0214
2016-04-30,0.0212
2016-03-31,0.0217
2016-02-29,0.023
2016-01-31,0.0227
2015-12-31,0.0211
2015-11-30,0.0207
2015-10-31,0.0211
2015-09-30,0.0219
2015-08-31,0.0207
2015-07-31,0.0201
2015-06-30,0.0199
2015-05-31,0.0196
2015-04-30,0.0196
2015-03-31,0.0196
2015-02-28,0.0194
2015-01-31,0.0197
2014-12-31,0.0192
2014-11-30,0.0191
2014-10-31,0.02
2014-09-30,0.0193
2014-08-31,0.0194
2014-07-31,0.0191
2014-06-30,0.0192
2014-05-31,0.0196
2014-04-30,0.0196
2014-03-31,0.0194
2014-02-28,0.0197
2014-01-31,0.0194
2013-12-31,0.0194
2013-11-30,0.0195
2013-10-31,0.0201
2013-09-30,0.0204
2013-08-31,0.0204
2013-07-31,0.0202
2013-06-30,0.0206
2013-05-31,0.0201
2013-04-30,0.0207
2013-03-31,0.0207
2013-02-28,0.021
2013-01-31,0.0213
2012-12-31,0.022
2012-11-30,0.022
2012-10-31,0.021
2012-09-30,0.0205
2012-08-31,0.0208
2012-07-31,0.0211
2012-06-30,0.0214
2012-05-31,0.0209
2012-04-30,0.02
2012-03-31,0.0197
2012-02-29,0.02
2012-01-31,0.0206
2011-12-31,0.0213
2011-11-30,0.0212
2011-10-31,0.0212
2011-09-30,0.0215
2011-08-31,0.021
2011-07-31,0.0186
2011-06-30,0.0189
2011-05-31,0.018
2011-04-30,0.0178
2011-03-31,0.018
2011-02-28,0.0176
2011-01-31,0.0179
2010-12-31,0.0183
2010-11-30,0.0189
2010-10-31,0.0192
2010-09-30,0.0199
2010-08-31,0.0205
2010-07-31,0.0205
2010-06-30,0.0203
2010-05-31,0.0195
2010-04-30,0.0183
2010-03-31,0.019
2010-02-28,0.0203
2010-01-31,0.0198
2009-12-31,0.0202
2009-11-30,0.021
2009-10-31,0.0219
2009-09-30,0.0229
2009-08-31,0.0242
2009-07-31,0.0267
2009-06-30,0.0276
2009-05-31,0.029
2009-04-30,0.0315
2009-03-31,0.036
2009-02-28,0.0343
2009-01-31,0.0324
2008-12-31,0.0323
2008-11-30,0.0323
2008-10-31,0.0296
2008-09-30,0.0237
2008-08-31,0.0225
2008-07-31,0.0229
2008-06-30,0.0214
2008-05-31,0.0204
2008-04-30,0.0208
2008-03-31,0.0215
2008-02-29,0.0207
2008-01-31,0.0203
2007-12-31,0.0187
2007-11-30,0.0188
2007-10-31,0.0177
2007-09-30,0.018
2007-08-31,0.0184
2007-07-31,0.0174
2007-06-30,0.0173
2007-05-31,0.0172
2007-04-30,0.0176
2007-03-31,0.0181
2007-02-28,0.0175
2007-01-31,0.0176
2006-12-31,0.0176
2006-11-30,0.0177
2006-10-31,0.0179
2006-09-30,0.0183
2006-08-31,0.0185
2006-07-31,0.0188
2006-06-30,0.0187
2006-05-31,0.018
2006-04-30,0.0177
2006-03-31,0.0176
2006-02-28,0.0177
2006-01-31,0.0175
2005-12-31,0.0176
2005-11-30,0.0178
2005-10-31,0.0182
2005-09-30,0.0175
2005-08-31,0.0174
2005-07-31,0.0173
2005-06-30,0.0174
2005-05-31,0.0176
2005-04-30,0.0176
2005-03-31,0.0169
2005-02-28,0.0166
2005-01-31,0.0167
2004-12-31,0.0162
2004-11-30,0.0166
2004-10-31,0.0172
2004-09-30,0.0171
2004-08-31,0.0174
2004-07-31,0.017
2004-06-30,0.0164
2004-05-31,0.0167
2004-04-30,0.0161
2004-03-31,0.016
2004-02-29,0.0156
2004-01-31,0.0155
2003-12-31,0.0161
2003-11-30,0.0163
2003-10-31,0.0162
2003-09-30,0.0163
2003-08-31,0.0166
2003-07-31,0.0164
2003-06-30,0.0164
2003-05-31,0.0173
2003-04-30,0.0182
2003-03-31,0.0192
2003-02-28,0.0193
2003-01-31,0.018
2002-12-31,0.0179
2002-11-30,0.0176
2002-10-31,0.0186
2002-09-30,0.0182
2002-08-31,0.0174
2002-07-31,0.0177
2002-06-30,0.0158
2002-05-31,0.0148
2002-04-30,0.0142
2002-03-31,0.0136
2002-02-28,0.0143
2002-01-31,0.0138
2001-12-31,0.0137
2001-11-30,0.0139
2001-10-31,0.0146
2001-09-30,0.0151
2001-08-31,0.0133
2001-07-31,0.013
