Date,GSCI
2017/9/29,2326.46
2017/9/28,2331.59
2017/9/27,2343.55
2017/9/26,2339.44
2017/9/25,2354.97
2017/9/22,2318.58
2017/9/21,2314.06
2017/9/20,2322.28
2017/9/19,2291.97
2017/9/18,2300.24
2017/9/15,2305.63
2017/9/14,2295.85
2017/9/13,2286.27
2017/9/12,2265.05
2017/9/11,2263.12
2017/9/8,2258.33
2017/9/7,2289.07
2017/9/6,2289.56
2017/9/5,2275.14
2017/9/1,2253.93
2017/8/31,2251.67
2017/8/30,2192.39
2017/8/29,2201.79
2017/8/28,2198.73
2017/8/25,2210.77
2017/8/24,2210.29
2017/8/23,2216.07
2017/8/22,2201.2
2017/8/21,2195.62
2017/8/18,2219.8
2017/8/17,2186.02
2017/8/16,2182.39
2017/8/15,2196.11
2017/8/14,2204.03
2017/8/11,2232.86
2017/8/10,2227.79
2017/8/9,2258
2017/8/8,2247.93
2017/8/7,2248.94
2017/8/4,2248.75
2017/8/3,2240.87
2017/8/2,2256
2017/8/1,2239.53
2017/7/31,2269.29
2017/7/28,2260.65
2017/7/27,2244.82
2017/7/26,2229.46
2017/7/25,2203.21
2017/7/24,2170.21
2017/7/21,2169.82
2017/7/20,2203.15
2017/7/19,2209.02
2017/7/18,2183.66
2017/7/17,2173.8
2017/7/14,2182.73
2017/7/13,2163.33
2017/7/12,2161.41
2017/7/11,2160.29
2017/7/10,2139.58
2017/7/7,2130.21
2017/7/6,2163.97
2017/7/5,2155.79
2017/7/3,2201.15
2017/6/30,2169.81
2017/6/29,2128.72
2017/6/28,2112.81
2017/6/27,2095.48
2017/6/26,2071.26
2017/6/23,2061.17
2017/6/22,2053.66
2017/6/21,2054.65
2017/6/20,2080.23
2017/6/19,2105.1
2017/6/16,2121.15
2017/6/15,2107.59
2017/6/14,2108.76
2017/6/13,2154.23
2017/6/12,2147.38
2017/6/9,2158.2
2017/6/8,2149.43
2017/6/7,2146.59
2017/6/6,2193.32
2017/6/5,2176.74
2017/6/2,2191.87
2017/6/1,2209.49
2017/5/31,2212.33
2017/5/30,2241.6
2017/5/26,2256.82
2017/5/25,2242.74
2017/5/24,2294.29
2017/5/23,2300.79
2017/5/22,2304.41
2017/5/19,2288.84
2017/5/18,2248.19
2017/5/17,2249.56
2017/5/16,2234.39
2017/5/15,2239.39
2017/5/12,2220.87
2017/5/11,2213.76
2017/5/10,2198.91
2017/5/9,2161.22
2017/5/8,2175.76
2017/5/5,2178.13
2017/5/4,2159.39
2017/5/3,2223.81
2017/5/2,2219.88
2017/5/1,2240.4
2017/4/28,2246.85
2017/4/27,2232.78
2017/4/26,2249.84
2017/4/25,2251.39
2017/4/24,2237.67
2017/4/21,2248.05
2017/4/20,2275.37
2017/4/19,2281.95
2017/4/18,2327.19
2017/4/17,2343.39
2017/4/13,2356.5
2017/4/12,2351.29
2017/4/11,2358.38
2017/4/10,2351.47
2017/4/7,2333.35
2017/4/6,2322.78
2017/4/5,2310.1
2017/4/4,2302.41
2017/4/3,2279.81
2017/3/31,2295.19
2017/3/30,2288.84
2017/3/29,2274.93
2017/3/28,2246.65
2017/3/27,2226.93
2017/3/24,2235.17
2017/3/23,2231.05
2017/3/22,2235.62
2017/3/21,2242.58
2017/3/20,2258.79
2017/3/17,2264.32
2017/3/16,2259.19
2017/3/15,2256.98
2017/3/14,2229.24
2017/3/13,2246.63
2017/3/10,2248.14
2017/3/9,2265.34
2017/3/8,2297.65
2017/3/7,2358.04
2017/3/6,2368.48
2017/3/3,2367.07
2017/3/2,2352.52
2017/3/1,2394.75
2017/2/28,2388.7
2017/2/27,2381.8
2017/2/24,2386.25
2017/2/23,2397.54
2017/2/22,2384.67
2017/2/21,2402.06
2017/2/17,2393.09
2017/2/16,2397.1
2017/2/15,2407.56
2017/2/14,2405.3
