Date,NOS
1958/2/1,-0.1064
1958/3/1,-0.0214
1958/4/1,-0.0582
1958/5/1,-0.0079
1958/6/1,0.0269
1958/7/1,-0.0078
1958/8/1,-0.0103
1958/9/1,-0.0411
1958/10/1,0.0019
1958/11/1,0.0488
1958/12/1,-0.0012
1959/1/1,0.0577
1959/2/1,0.0701
1959/3/1,0.0717
1959/4/1,0.047
1959/5/1,-0.0089
1959/6/1,0.0217
1959/7/1,-0.0241
1959/8/1,-0.0009
1959/9/1,0.048
1959/10/1,0.0411
1959/11/1,-0.0068
1959/12/1,-0.0263
1960/1/1,-0.0827
1960/2/1,-0.0675
1960/3/1,-0.0651
1960/4/1,-0.0536
1960/5/1,-0.0313
1960/6/1,-0.0125
1960/7/1,-0.0414
1960/8/1,0.021
1960/9/1,0.0072
1960/10/1,-0.0521
1960/11/1,-0.0307
1960/12/1,-0.0215
1961/1/1,-0.0154
1961/2/1,0.007
1961/3/1,-0.0168
1961/4/1,0.0242
1961/5/1,0.0168
1961/6/1,0.007
1961/7/1,0.0201
1961/8/1,0.0263
1961/9/1,-0.0029
1961/10/1,0.0048
1961/11/1,0.0161
1961/12/1,0.0299
1962/1/1,0.0307
1962/2/1,0.0327
1962/3/1,-0.0224
1962/4/1,-0.0304
1962/5/1,-0.0212
1962/6/1,-0.0116
1962/7/1,-0.0015
1962/8/1,-0.0262
1962/9/1,0.0215
1962/10/1,0.0358
1962/11/1,-0.0001
1962/12/1,0.0802
1963/1/1,0.0652
1963/2/1,0.051
1963/3/1,0.0729
1963/4/1,0.0429
1963/5/1,0.0455
1963/6/1,-0.0117
1963/7/1,-0.0034
1963/8/1,0.0045
1963/9/1,0.022
1963/10/1,0.0089
1963/11/1,0.005
1963/12/1,-0.0182
1964/1/1,0.06
1964/2/1,0.0268
1964/3/1,0.0357
1964/4/1,0.0434
1964/5/1,0.0505
1964/6/1,0.0525
1964/7/1,0.0732
1964/8/1,0.026
1964/9/1,0.0441
1964/10/1,0.0693
1964/11/1,0.03
1964/12/1,0.0338
1965/1/1,0.0615
1965/2/1,0.0463
1965/3/1,0.0387
1965/4/1,0.0466
1965/5/1,0.0431
1965/6/1,0.0386
1965/7/1,0.0373
1965/8/1,0.0331
1965/9/1,0.0555
1965/10/1,0.068
1965/11/1,0.0506
1965/12/1,0.0578
1966/1/1,0.0866
1966/2/1,0.0696
1966/3/1,0.094
1966/4/1,0.071
