Date,CL1,CL4,OIL
1983/3/30,29.4,28.95,
1983/3/31,29.29,28.85,
1983/4/4,29.44,29.05,
1983/4/5,29.71,29.2,
1983/4/6,29.9,29.33,
1983/4/7,30.17,29.65,
1983/4/8,30.38,30,
1983/4/11,30.26,29.9,
1983/4/12,30.83,30.54,
1983/4/13,30.82,30.56,
1983/4/14,30.69,30.5,
1983/4/15,30.48,30.2,
1983/4/18,30.75,30.5,
1983/4/19,30.75,30.55,
1983/4/20,30.7,30.55,
1983/4/21,30.68,30.55,
1983/4/22,30.75,30.65,
1983/4/25,30.84,30.73,
1983/4/26,30.71,30.6,
1983/4/27,30.78,30.75,
1983/4/28,30.74,30.75,
1983/4/29,30.63,30.65,
1983/5/2,30.61,30.55,
1983/5/3,30.5,30.35,
1983/5/4,30.42,30.23,
1983/5/5,30.2,30,
1983/5/6,30.45,29.95,
1983/5/9,30.1,29.65,
1983/5/10,30.31,29.77,
1983/5/11,29.97,29.52,
1983/5/12,29.72,29.3,
1983/5/13,29.8,29.35,
1983/5/16,30.12,29.75,
1983/5/17,29.91,29.78,
1983/5/18,29.75,29.73,
1983/5/19,29.95,29.78,
1983/5/20,30.3,30.3,
1983/5/23,30.27,30.2,
1983/5/24,30.05,30,
1983/5/25,30.25,30.2,
1983/5/26,30.31,30.2,
1983/5/27,30.19,30.15,
1983/5/31,30.25,30.03,
1983/6/1,30.33,30.15,
1983/6/2,30.4,30.15,
1983/6/3,30.36,30.2,
1983/6/6,30.35,30.1,
1983/6/7,30.59,30.32,
1983/6/8,30.6,30.4,
1983/6/9,30.49,30.35,
1983/6/10,30.77,30.53,
1983/6/13,31,30.72,
1983/6/14,31,30.75,
1983/6/15,31.3,31,
1983/6/16,31.6,31.22,
1983/6/17,31.4,31.14,
1983/6/20,31.42,31.15,
1983/6/21,31.18,30.9,
1983/6/22,30.95,30.7,
1983/6/23,31.1,30.9,
1983/6/24,31.2,30.95,
1983/6/27,31.2,31,
1983/6/28,31.24,31,
1983/6/29,31.2,31,
1983/6/30,31.38,31.15,
1983/7/1,31.35,31.15,0.034588977
1983/7/5,31.27,31.1,0.034982064
1983/7/6,31.2,31,0.031008457
1983/7/7,31.4,31.13,0.031546797
1983/7/8,31.4,31.2,0.029617585
1983/7/11,31.64,31.3,0.028211777
1983/7/12,31.72,31.35,0.024211924
1983/7/13,31.87,31.65,0.027710875
1983/7/14,31.85,31.67,0.018240404
1983/7/15,31.7,31.65,0.015905912
1983/7/18,31.7,31.5,0.016759423
1983/7/19,31.62,31.6,0.019954923
1983/7/20,31.65,31.6,0.016073875
1983/7/21,31.51,31.45,0.013437189
1983/7/22,31.46,31.41,0.012747504
1983/7/25,31.4,31.31,0.011918433
1983/7/26,31.53,31.4,0.012293492
1983/7/27,31.73,31.55,0.013907512
1983/7/28,31.82,31.65,0.016978749
1983/7/29,32,31.82,0.017304858
1983/8/1,32.12,32.1,0.018930416
1983/8/2,32.2,32.1,0.021425393
1983/8/3,32.2,32.05,0.022844657
1983/8/4,32.14,32.05,0.024887177
1983/8/5,32.15,32.06,0.02674283
1983/8/8,32.05,31.99,0.028706779
1983/8/9,31.94,31.81,0.027938085
1983/8/10,32.14,32,0.035021175
1983/8/11,31.95,31.96,0.030692028
1983/8/12,31.99,31.95,0.034897887
1983/8/15,32,32.04,0.038282358
1983/8/16,31.98,31.95,0.037270354
1983/8/17,31.87,31.9,0.029895093
1983/8/18,31.72,31.64,0.027408485
1983/8/22,31.53,31.48,0.025529062
1983/8/23,31.65,31.56,0.026449021
1983/8/24,31.57,31.46,0.017831953
1983/8/25,31.73,31.63,0.021463129
1983/8/26,31.8,31.67,0.025305865
1983/8/29,31.66,31.58,0.020503968
1983/8/30,31.68,31.55,0.02077823
1983/8/31,31.59,31.46,0.020262309
1983/9/1,31.6,31.38,0.02213175
1983/9/2,31.57,31.38,0.019987265
1983/9/6,31.36,31.09,0.017088738
1983/9/7,31.38,31.1,0.016645996
1983/9/8,31.34,31.05,0.017532497
1983/9/9,31.21,30.91,0.012564572
1983/9/12,31.15,30.78,0.010584467
1983/9/13,31.23,31.03,0.012413289
1983/9/14,31.4,31.2,0.012202844
1983/9/15,31.48,31.35,0.010613512
1983/9/16,31.55,31.4,0.011154243
1983/9/19,31.45,31.27,0.006258956
1983/9/20,31.33,31.15,0.001527496
1983/9/21,31.39,31.19,0.003472707
1983/9/22,31.3,31.1,0.002086287
1983/9/23,31.3,31.1,0.005585858
1983/9/26,31.22,31.01,0.007294523
