Date,"MA(1,9)","MA(1,12)","MA(2,9)","MA(2,12)","MA(3,9)","MA(3,12)",MOM(9),MOM(12),"VOL(1,9)","VOL(1,12)","VOL(2,9)","VOL(2,12)","VOL(3,9)",PCAtech
1990/1/31,1,0,0,0,0,0,0,0,1,1,1,1,1,-0.987494362665
1990/2/1,1,0,1,0,0,0,0,0,1,1,1,1,1,-0.38843045967
1990/2/2,1,1,1,0,1,0,1,0,1,1,1,1,1,1.35537096942
1990/2/5,1,1,1,1,1,1,1,0,1,1,1,1,1,2.56711121417
1990/2/6,1,1,1,1,1,1,0,0,1,1,1,1,1,2.01974024986
1990/2/7,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/2/8,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/2/9,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/2/12,0,1,1,1,1,1,1,1,1,1,1,1,1,2.46432896265
1990/2/13,0,1,0,1,1,1,1,1,1,1,1,1,1,1.86526505965
1990/2/14,1,1,0,1,0,1,1,1,1,1,1,1,1,1.85627926137
1990/2/15,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/2/16,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/2/20,0,0,0,0,0,1,0,0,0,0,1,1,1,-2.03744047481
1990/2/21,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25481540632
1990/2/22,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25481540632
1990/2/23,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25481540632
1990/2/26,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25481540632
1990/2/27,1,1,1,0,0,0,0,0,0,0,0,0,0,-2.46830683683
1990/2/28,1,1,1,1,1,1,0,0,1,1,1,0,0,0.939318058431
1990/3/1,1,1,1,1,1,1,0,1,1,1,1,1,1,2.49508209926
1990/3/2,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/3/5,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/3/6,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/3/7,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/3/8,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/3/9,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/3/12,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/3/13,0,1,1,1,1,1,1,1,0,1,0,1,0,0.868919317424
1990/3/14,0,1,0,1,1,1,1,1,1,1,0,1,0,0.789676587946
1990/3/15,1,1,1,1,0,1,1,1,1,1,1,1,1,2.45534316437
1990/3/16,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/3/19,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
1990/3/20,1,1,1,1,1,1,1,1,1,1,1,1,1,3.04245306357
