Date,PCR
1980/10/1,-0.807340977
1980/10/2,-0.797146232
1980/10/3,-0.795980747
1980/10/6,-0.795810118
1980/10/7,-0.797722023
1980/10/8,-0.797290953
1980/10/9,-0.80529044
1980/10/10,-0.808358846
1980/10/13,-0.807487581
1980/10/14,-0.805290869
1980/10/15,-0.797236974
1980/10/16,-0.802775277
1980/10/17,-0.805845506
1980/10/20,-0.804578427
1980/10/21,-0.807672107
1980/10/22,-0.810903059
1980/10/23,-0.81550279
1980/10/24,-0.814344024
1980/10/27,-0.815190606
1980/10/28,-0.818334638
1980/10/29,-0.81810317
1980/10/30,-0.824242183
1980/10/31,-0.816590445
1980/11/3,-0.817907018
1980/11/5,-0.811616646
1980/11/6,-0.812319493
1980/11/7,-0.809684271
1980/11/10,-0.799391657
1980/11/11,-0.791968829
1980/11/12,-0.786065028
1980/11/13,-0.774444498
1980/11/14,-0.776024452
1980/11/17,-0.775526533
1980/11/18,-0.774869498
1980/11/19,-0.777385423
1980/11/20,-0.779119394
1980/11/21,-0.779688688
1980/11/24,-0.771246196
1980/11/25,-0.769170324
1980/11/26,-0.767137593
1980/11/28,-0.768189071
1980/12/1,-0.76710798
1980/12/2,-0.770027378
1980/12/3,-0.767897291
1980/12/4,-0.764220603
1980/12/5,-0.767396466
1980/12/8,-0.772871128
1980/12/9,-0.765023855
1980/12/10,-0.768039968
1980/12/11,-0.754003119
1980/12/12,-0.75514847
1980/12/15,-0.768625813
1980/12/16,-0.764515978
1980/12/17,-0.760362111
1980/12/18,-0.758581817
1980/12/19,-0.760889172
1980/12/22,-0.755394251
1980/12/23,-0.757364602
1980/12/24,-0.75034691
1980/12/26,#N/A
1980/12/29,-0.748384406
1980/12/30,-0.742687467
1980/12/31,-0.74955914
1981/1/2,-0.748845083
1981/1/5,-0.749774737
1981/1/6,-0.752116338
1981/1/7,-0.757734493
1981/1/8,-0.757565353
1981/1/9,-0.753197502
1981/1/12,-0.751485057
1981/1/13,-0.753695503
1981/1/14,-0.755155554
1981/1/15,-0.747504527
1981/1/16,-0.743221274
1981/1/19,-0.741105432
1981/1/20,-0.751953559
1981/1/21,-0.750134282
1981/1/22,-0.749343882
1981/1/23,-0.747784087
1981/1/26,-0.749396461
1981/1/27,-0.740952461
1981/1/28,-0.742188424
1981/1/29,-0.73606108
1981/1/30,-0.741382429
1981/2/2,-0.744298841
1981/2/3,-0.746727009
1981/2/4,-0.74192268
1981/2/5,-0.742152908
1981/2/6,-0.748520438
1981/2/9,-0.748354775
1981/2/10,-0.747416857
1981/2/11,-0.750964591
1981/2/12,-0.748778942
1981/2/13,-0.751862568
1981/2/17,-0.749402316
1981/2/18,-0.745482662
1981/2/19,-0.757642308
1981/2/20,-0.752687417
1981/2/23,-0.748346331
1981/2/24,-0.747972465
1981/2/25,-0.739298475
1981/2/26,-0.730895188
1981/2/27,-0.722862193
1981/3/2,-0.708941365
1981/3/3,-0.719138008
1981/3/4,-0.70885284
1981/3/5,-0.713330111
1981/3/6,-0.717800551
1981/3/9,-0.714066495
1981/3/10,-0.711782019
1981/3/11,-0.706431746
1981/3/12,-0.702289734
1981/3/13,-0.699667656
1981/3/16,-0.69192866
1981/3/17,-0.702889196
1981/3/18,-0.697823056
1981/3/19,-0.7003281
1981/3/20,-0.695927603
1981/3/23,-0.698092143
1981/3/24,-0.708304953
1981/3/25,-0.698171063
1981/3/26,-0.703995421
1981/3/27,-0.707389898
1981/3/30,-0.705957674
1981/3/31,-0.706755423
1981/4/1,-0.702340427
1981/4/2,-0.703262358
1981/4/3,-0.703364683
1981/4/6,-0.7116627
1981/4/7,-0.714490136
1981/4/8,-0.711503023
1981/4/9,-0.712901369
1981/4/10,-0.710302174
1981/4/13,-0.712451173
1981/4/14,-0.713125964
1981/4/15,-0.705255668
1981/4/16,-0.706316636
1981/4/20,-0.705872548
1981/4/21,-0.7149967
1981/4/22,-0.712415978
1981/4/23,-0.713471853
1981/4/24,-0.709089908
1981/4/27,-0.709822075
1981/4/28,-0.708714179
1981/4/29,-0.711269739
1981/4/30,-0.711094537
1981/5/1,-0.711960966
1981/5/4,-0.70952928
1981/5/5,-0.708893327
1981/5/6,-0.709293569
1981/5/7,-0.707766093
1981/5/8,-0.711147648
1981/5/11,-0.711776997
1981/5/12,-0.70079345
1981/5/13,-0.701788493
1981/5/14,-0.700891095
1981/5/15,-0.693354434
1981/5/18,-0.696992935
1981/5/19,-0.698404123
1981/5/20,-0.701849156
1981/5/21,-0.70024711
1981/5/22,-0.704536063
1981/5/26,-0.704579417
1981/5/27,-0.704685167
1981/5/28,-0.707484023
1981/5/29,-0.714161401
1981/6/1,-0.711736211
1981/6/2,-0.717169318
1981/6/3,-0.708253048
1981/6/4,-0.709169426
1981/6/5,-0.709701881
1981/6/8,-0.712115765
1981/6/9,-0.711343386
1981/6/10,-0.714166508
1981/6/11,-0.705006358
1981/6/12,-0.707194279
1981/6/15,-0.707008311
1981/6/16,-0.708333105
1981/6/17,-0.704916456
1981/6/18,-0.713689082
1981/6/19,-0.709415894
1981/6/22,-0.707166636
1981/6/23,-0.702046529
1981/6/24,-0.701014546
1981/6/25,-0.69769937
1981/6/26,-0.693550236
1981/6/29,-0.690524569
1981/6/30,-0.690196756
1981/7/1,-0.698782552
1981/7/2,-0.703096125
1981/7/6,-0.71554804
1981/7/7,-0.711375637
1981/7/8,-0.708675687
1981/7/9,-0.707905928
1981/7/10,-0.711536303
1981/7/13,-0.712920734
1981/7/14,-0.707770458
1981/7/15,-0.705160837
1981/7/16,-0.705891784
1981/7/17,-0.704802736
1981/7/20,-0.706814019
1981/7/21,-0.707169227
1981/7/22,-0.710685086
1981/7/23,-0.713669853
1981/7/24,-0.71215567
1981/7/27,-0.70468274
1981/7/28,-0.710753962
1981/7/29,-0.714687409
1981/7/30,-0.708668521
1981/7/31,-0.710466668
1981/8/3,-0.707042527
1981/8/4,-0.700854718
1981/8/5,-0.699218719
1981/8/6,-0.700493124
1981/8/7,-0.702136119
1981/8/10,-0.698209143
1981/8/11,-0.695804712
1981/8/12,-0.699802634
1981/8/13,-0.696778537
1981/8/14,-0.701734327
1981/8/17,-0.706275531
1981/8/18,-0.710029972
1981/8/19,-0.710918698
1981/8/20,-0.705958423
1981/8/21,-0.70809504
1981/8/24,-0.711602238
1981/8/25,-0.707851619
1981/8/26,-0.716676528
1981/8/27,-0.724353486
1981/8/28,-0.722665475
1981/8/31,-0.723810486
1981/9/1,-0.725063805
1981/9/2,-0.723779911
1981/9/3,-0.734791122
1981/9/4,-0.73683331
1981/9/8,-0.743091488
1981/9/9,-0.74654742
1981/9/10,-0.743258084
