Date,CAY,NOS,BM,PE,CAPE,DP,PCAprice,CPI,SPX,BY,DEF,TERM,VRP,IC,BDI,PCR,MA,PCAtech,OIL,SI,SIM
1990-01-31,0.022979508,0.0275,0.506072874,15.13,17.05,0.0328,-2.77815234549,0.051980198,329.08,0.999435562,0.96,0.43,,,0.001828154,-0.757631854,1.0,-0.987494362665,0.070085741,,0.515384615
1990-02-01,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,328.79,0.999894827,0.96,0.4,,,-0.003035823,-0.757424016,1.0,-0.38843045967,0.07408392400000001,,0.523076923
1990-02-02,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,330.92,1.000558766,0.94,0.43,,,-0.005464481,-0.759989545,0.0,1.35537096942,0.07699829,,0.5307692310000001
1990-02-05,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,331.85,1.000244469,0.93,0.45,,,-0.019382193,-0.753331516,0.0,2.56711121417,0.061804868,,0.538461538
1990-02-06,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,329.66,1.00029473,0.89,0.48,,,-0.028433152000000003,-0.756084665,0.0,2.01974024986,0.065021722,,0.546153846
1990-02-07,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,333.75,0.9996657809999999,0.89,0.44,,,-0.039903265,-0.750112406,0.0,3.04245306357,0.058214377000000005,,0.553846154
1990-02-08,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,332.96,0.999767909,0.92,0.41,,,-0.042926239000000005,-0.749725825,0.0,3.04245306357,0.05505288,,0.561538462
1990-02-09,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,333.62,0.998687855,0.93,0.29,,,-0.044659022,-0.746386933,0.0,3.04245306357,0.048116704,,0.569230769
1990-02-12,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,330.08,1.000565189,0.91,0.41,,,-0.045344619,-0.755471641,0.0,2.46432896265,0.055436688,,0.576923077
1990-02-13,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,331.02,0.999674919,0.9,0.51,,,-0.046497585,-0.75458997,0.0,1.86526505965,0.048853289,,0.584615385
1990-02-14,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,332.01,1.000052285,0.92,0.49,,,-0.043636364000000004,-0.755351999,0.0,1.8562792613699999,0.055106073,,0.592307692
1990-02-15,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,334.89,1.000501583,0.92,0.46,,,-0.04368932,-0.755794536,0.0,3.04245306357,0.073814385,,0.6
1990-02-16,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,332.72,0.999958858,0.88,0.48,,,-0.04368932,-0.7558602,0.0,3.04245306357,0.066882225,,0.607692308
1990-02-20,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,327.99,1.001391634,0.86,0.56,,,-0.036319613,-0.761368007,0.0,-2.03744047481,0.061952235,,0.615384615
1990-02-21,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,327.67,1.000083389,0.92,0.61,,,-0.039251207999999996,-0.75932368,0.0,-4.25481540632,0.048563279,,0.623076923
1990-02-22,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,325.7,0.9994432990000001,0.94,0.55,,,-0.047305389,-0.764275496,0.0,-4.25481540632,0.047647422,,0.630769231
1990-02-23,0.022979508,-0.0039,0.506072874,14.97,16.51,0.0328,-2.77815234549,0.052631579000000005,324.15,0.9998962109999999,0.95,0.6,,,-0.04616307,-0.765285867,0.0,-4.25481540632,0.037456912,,0.6384615379999999
