Date,ShortVolume,ShortExemptVolume,TotalVolume,SI
2013/4/1,102793,0,131746,
2013/4/2,76593,0,92582,
2013/4/3,121932,0,157882,
2013/4/4,76659,0,94772,
2013/4/5,53614,0,80414,
2013/4/8,75446,0,84002,
2013/4/9,98377,0,124489,
2013/4/10,154882,0,209400,
2013/4/11,48730,0,99737,
2013/4/12,32579,1100,147777,
2013/4/15,64013,400,137764,
2013/4/16,33794,0,75524,
2013/4/17,53896,0,103340,
2013/4/18,44502,0,104426,
2013/4/19,43068,0,58306,
2013/4/22,34978,0,46378,
2013/4/23,36185,0,65294,
2013/4/24,19700,0,53880,
2013/4/25,20712,0,51812,
2013/4/26,27300,0,43500,
2013/4/29,21642,0,34137,
2013/4/30,34978,0,59294,
2013/5/1,56700,0,92600,
2013/5/2,76934,0,117358,
2013/5/3,38800,0,123780,
2013/5/6,31818,0,49118,
2013/5/7,131126,0,185860,
2013/5/8,61335,0,77835,
2013/5/9,55602,0,91974,
2013/5/10,108989,0,138269,1.114691895
2013/5/13,115437,0,162609,1.168346146
2013/5/14,133871,0,170367,1.320271094
2013/5/15,336641,0,384692,3.089670292
2013/5/16,69605,0,136268,0.630822149
2013/5/17,184558,0,219658,1.605108991
2013/5/20,110259,0,174889,0.934309889
2013/5/21,76809,0,103467,0.654749947
2013/5/22,141797,0,243057,1.197282837
2013/5/23,195988,0,312281,1.561444201
2013/5/24,135332,0,193283,1.065321095
2013/5/28,56932,0,92007,0.453609748
2013/5/29,28100,0,109937,0.221861022
2013/5/30,23914,0,38214,0.192103466
2013/5/31,43984,0,84148,0.355256696
2013/6/3,198564,0,230209,1.532849138
2013/6/4,155539,0,188552,1.158333104
2013/6/5,57964,0,70614,0.431101312
2013/6/6,41962,0,59526,0.311651852
2013/6/7,45103,0,71150,0.333384007
2013/6/10,36164,0,68220,0.265692113
2013/6/11,92889,0,177938,0.659227654
2013/6/12,37300,0,55274,0.264967842
2013/6/13,26407,0,36164,0.190128058
2013/6/14,54719,0,69359,0.398563243
2013/6/17,45849,0,83580,0.337247418
2013/6/18,219004,14798,510957,1.447048889
2013/6/19,64802,1400,155879,0.431019403
2013/6/20,70034,0,124267,0.46107265
2013/6/21,71909,0,115311,0.471004636
2013/6/24,45859,0,68600,0.30501652
2013/6/25,51110,0,91669,0.345373853
2013/6/26,43825,0,68508,0.303099953
2013/6/27,40700,0,59400,0.304307711
2013/6/28,61683,0,83783,0.467307137
2013/7/1,71627,0,116477,0.55715997
2013/7/2,109798,0,163935,0.856510771
2013/7/3,63366,0,94694,0.495434837
2013/7/5,66342,0,106795,0.537801856
2013/7/8,51290,0,78590,0.443807975
2013/7/9,63737,0,109537,0.565162235
2013/7/10,18100,0,63400,0.161863089
2013/7/11,52740,0,95075,0.473737396
2013/7/12,57765,0,90618,0.510858789
2013/7/15,82531,0,123785,0.721452994
2013/7/16,63547,0,115447,0.574721203
2013/7/17,39100,0,65550,0.367239368
2013/7/18,62728,0,106207,0.582668023
2013/7/19,58400,0,116553,0.533053906
2013/7/22,98800,0,135741,0.884429476
2013/7/23,80049,0,118583,0.705966706
2013/7/24,125088,0,184688,1.100989137
2013/7/25,69049,0,96469,0.600492054
2013/7/26,62130,0,94231,0.531375653
2013/7/29,92716,0,142098,0.776857062
2013/7/30,69869,0,89273,0.58449522
2013/7/31,105908,0,143022,0.98727699
2013/8/1,133046,0,193856,1.22579282
2013/8/2,124601,0,158389,1.136081262
2013/8/5,64050,0,83877,0.589625175
2013/8/6,70973,1100,149351,0.637558199
2013/8/7,56404,1800,107999,0.504217757
2013/8/8,65501,0,108501,0.578643692
2013/8/9,36270,0,74003,0.319041603
2013/8/12,97292,0,152402,0.838930013
2013/8/13,72015,0,142165,0.616420064
2013/8/14,353875,0,466387,2.788403603
2013/8/15,115454,19113,239750,0.876346227
2013/8/16,84145,7400,214046,0.621823419
2013/8/19,88668,1100,137914,0.645810537
2013/8/20,70261,0,116089,0.510931
2013/8/21,76604,0,190187,0.540447236
2013/8/22,46800,0,82374,0.331166832
2013/8/23,54140,0,168649,0.376182432
2013/8/26,82207,0,114773,0.572395879
2013/8/27,168801,0,207993,1.150623023
2013/8/28,54712,0,116009,0.368714112
2013/8/29,42454,0,61982,0.288976107
2013/8/30,46375,0,54675,0.320160553
2013/9/3,63445,0,84395,0.443244615
2013/9/4,105848,0,122748,0.738767348
2013/9/5,97715,0,116540,0.692990102
2013/9/6,72100,4100,136003,0.506595223
2013/9/9,39515,4500,68610,0.279319802
2013/9/10,52789,0,76789,0.378981662
2013/9/11,13994,0,30994,0.101886386
2013/9/12,26600,0,41000,0.198584031
2013/9/13,11800,0,18828,0.092105421
2013/9/16,38941,0,65210,0.311507814
2013/9/17,95936,0,109687,0.762192692
2013/9/18,107188,0,149850,0.851475102
2013/9/19,70876,0,86676,0.566218465
2013/9/20,80261,0,105242,0.641750867
2013/9/23,21737,0,146863,0.170493852
2013/9/24,37992,0,271659,0.288979427
2013/9/25,40038,0,178826,0.301737261
2013/9/26,30060,0,252782,0.239385656
2013/9/27,34995,0,173208,0.283697162
2013/9/30,46959,0,137207,0.388758975
2013/10/1,40162,0,93499,0.336614472
2013/10/2,14817,0,115747,0.124199324
2013/10/3,84758,0,190035,0.710490205
2013/10/4,119300,0,273252,0.949404613
2013/10/7,66578,0,540352,0.482282224
