Date,SPX,VOLUME
2017/9/29,2519.36,533173152
2017/9/28,2510.06,469559328
2017/9/27,2507.04,522364512
2017/9/26,2496.84,471032576
2017/9/25,2496.66,562565184
2017/9/22,2502.22,452975168
2017/9/21,2500.6,464068032
2017/9/20,2508.24,538366592
2017/9/19,2506.65,501443008
2017/9/18,2503.87,517577760
2017/9/15,2500.23,1435549568
2017/9/14,2495.62,533390848
2017/9/13,2498.37,492139264
2017/9/12,2496.48,490923936
2017/9/11,2488.11,515684192
2017/9/8,2461.43,501930912
2017/9/7,2465.1,516386816
2017/9/6,2465.54,539031424
2017/9/5,2457.85,554135360
2017/9/1,2476.55,403108736
2017/8/31,2471.65,645209408
2017/8/30,2457.59,411660384
2017/8/29,2446.3,404549824
2017/8/28,2444.24,424021664
2017/8/25,2443.05,424178880
2017/8/24,2438.97,470044928
2017/8/23,2444.04,429162720
2017/8/22,2452.51,429507296
2017/8/21,2428.37,461494144
2017/8/18,2425.55,604768320
2017/8/17,2430.01,522122272
2017/8/16,2468.11,447838176
2017/8/15,2464.61,440317344
2017/8/14,2465.84,460363456
2017/8/11,2441.32,442234816
2017/8/10,2438.21,544085440
2017/8/9,2474.02,462661152
2017/8/8,2474.92,459725408
2017/8/7,2480.91,451477344
2017/8/4,2476.83,497282496
2017/8/3,2472.16,511922112
2017/8/2,2477.57,549613504
2017/8/1,2476.35,520941056
2017/7/31,2470.3,691834816
2017/7/28,2472.1,505672256
2017/7/27,2475.42,654796160
2017/7/26,2477.83,546161216
2017/7/25,2477.13,649138688
2017/7/24,2469.91,586387584
2017/7/21,2472.54,562308032
2017/7/20,2473.45,510915136
2017/7/19,2473.83,466561984
2017/7/18,2460.61,434709856
2017/7/17,2459.14,436852384
2017/7/14,2459.27,439411168
2017/7/13,2447.83,487474688
2017/7/12,2443.25,492047456
2017/7/11,2425.53,463115296
2017/7/10,2427.43,490786848
2017/7/7,2425.18,458121632
2017/7/6,2409.75,554020288
2017/7/5,2432.54,568417856
