Date,SPY
2017/9/29,251.23
2017/9/28,250.35
2017/9/27,250.05
2017/9/26,249.08
2017/9/25,248.93
2017/9/22,249.44
2017/9/21,249.39
2017/9/20,250.06
2017/9/19,249.97
2017/9/18,249.72
2017/9/15,249.19
2017/9/14,250.09
2017/9/13,250.17
2017/9/12,250.05
2017/9/11,249.21
2017/9/8,246.58
2017/9/7,246.87
2017/9/6,246.9
2017/9/5,246.06
2017/9/4,
2017/9/1,247.84
2017/8/31,247.49
2017/8/30,246.01
2017/8/29,244.85
2017/8/28,244.57
2017/8/25,244.56
2017/8/24,243.99
2017/8/23,244.56
2017/8/22,245.44
2017/8/21,242.9
2017/8/18,242.71
2017/8/17,243.09
2017/8/16,246.94
2017/8/15,246.51
2017/8/14,246.54
2017/8/11,244.12
2017/8/10,243.76
2017/8/9,247.25
2017/8/8,247.26
2017/8/7,247.87
2017/8/4,247.41
2017/8/3,246.96
2017/8/2,247.44
2017/8/1,247.32
2017/7/31,246.77
2017/7/28,246.91
2017/7/27,247.2
2017/7/26,247.43
2017/7/25,247.42
2017/7/24,246.82
2017/7/21,246.88
2017/7/20,247.1
2017/7/19,246.99
2017/7/18,245.66
2017/7/17,245.53
2017/7/14,245.56
2017/7/13,244.42
2017/7/12,244.01
2017/7/11,242.19
2017/7/10,242.37
2017/7/7,242.11
2017/7/6,240.55
2017/7/5,242.77
2017/7/4,
2017/7/3,242.21
2017/6/30,241.8
2017/6/29,241.35
2017/6/28,243.49
2017/6/27,241.33
2017/6/26,243.29
2017/6/23,243.13
2017/6/22,242.84
2017/6/21,242.95
2017/6/20,243.01
2017/6/19,244.66
2017/6/16,242.64
2017/6/15,243.77
2017/6/14,244.24
2017/6/13,244.55
2017/6/12,243.36
2017/6/9,243.41
2017/6/8,243.78
2017/6/7,243.66
2017/6/6,243.21
2017/6/5,243.99
2017/6/2,244.17
2017/6/1,243.36
2017/5/31,241.44
2017/5/30,241.5
2017/5/29,
2017/5/26,241.71
2017/5/25,241.76
2017/5/24,240.61
2017/5/23,240.05
2017/5/22,239.52
2017/5/19,238.31
2017/5/18,236.77
2017/5/17,235.82
2017/5/16,240.08
2017/5/15,240.3
2017/5/12,238.98
2017/5/11,239.38
2017/5/10,239.87
2017/5/9,239.44
2017/5/8,239.66
2017/5/5,239.7
2017/5/4,238.76
2017/5/3,238.48
2017/5/2,238.77
2017/5/1,238.68
2017/4/28,238.08
2017/4/27,238.6
2017/4/26,238.4
2017/4/25,238.55
2017/4/24,237.17
2017/4/21,234.59
2017/4/20,235.34
2017/4/19,233.44
2017/4/18,233.87
2017/4/17,234.57
2017/4/14,
2017/4/13,232.51
2017/4/12,234.03
2017/4/11,235.06
2017/4/10,235.34
2017/4/7,235.2
2017/4/6,235.44
2017/4/5,234.78
2017/4/4,235.48
2017/4/3,235.33
2017/3/31,235.74
2017/3/30,236.29
2017/3/29,235.54
2017/3/28,235.32
2017/3/27,233.62
2017/3/24,233.86
2017/3/23,234.03
2017/3/22,234.28
2017/3/21,233.73
2017/3/20,236.77
2017/3/17,237.03
2017/3/16,238.48
2017/3/15,238.95
2017/3/14,236.9
2017/3/13,237.81
2017/3/10,237.69
2017/3/9,236.86
2017/3/8,236.56
2017/3/7,237
2017/3/6,237.71
2017/3/3,238.42
2017/3/2,238.27
2017/3/1,239.78
2017/2/28,236.47
2017/2/27,237.11
2017/2/24,236.74
2017/2/23,236.44
2017/2/22,236.28
2017/2/21,236.49
2017/2/20,
2017/2/17,235.09
2017/2/16,234.72
2017/2/15,234.92
2017/2/14,233.7
2017/2/13,232.77
2017/2/10,231.51
2017/2/9,230.6
2017/2/8,229.24
2017/2/7,228.94
2017/2/6,228.93
2017/2/3,229.34
2017/2/2,227.77
2017/2/1,227.62
2017/1/31,227.53
2017/1/30,227.55
2017/1/27,228.97
2017/1/26,229.33
2017/1/25,229.57
2017/1/24,227.6
2017/1/23,226.15
2017/1/20,226.74
2017/1/19,225.91
2017/1/18,226.75
2017/1/17,226.25
2017/1/16,
2017/1/13,227.05
2017/1/12,226.53
2017/1/11,227.1
2017/1/10,226.46
2017/1/9,226.46
2017/1/6,227.21
2017/1/5,226.4
2017/1/4,226.58
2017/1/3,225.24
2017/1/2,
2016/12/30,223.53
2016/12/29,224.35
2016/12/28,224.4
2016/12/27,226.27
2016/12/26,
2016/12/23,225.71
2016/12/22,225.38
2016/12/21,225.77
2016/12/20,226.4
