Date,VRP
6/8/1990,-4.87512489
6/11/1990,-6.11512489
6/12/1990,-5.85512489
6/13/1990,-5.07512589
6/14/1990,-5.05512489
6/15/1990,-6.55512489
6/18/1990,-4.74512589
6/19/1990,-7.22512489
6/20/1990,-7.18512489
6/21/1990,-7.73512489
6/22/1990,-3.09512389
6/25/1990,-5.39512589
6/26/1990,-6.16512389
6/27/1990,-6.45512489
6/28/1990,-6.27512489
6/29/1990,-6.95512489
7/2/1990,-6.19512489
7/3/1990,-6.34512389
7/5/1990,-5.20512489
7/6/1990,-6.04512489
7/9/1990,-5.79512489
7/10/1990,-5.53512489
7/11/1990,-5.77512489
7/12/1990,-5.39512589
7/13/1990,-5.36512489
7/16/1990,-5.70512489
7/17/1990,-5.79512489
7/18/1990,-3.55512489
7/19/1990,-3.89512589
7/20/1990,-6.82512489
7/23/1990,1.22487511
7/24/1990,-0.66512389
7/25/1990,-2.26512389
7/26/1990,-2.19512489
7/27/1990,-1.33512389
7/30/1990,-1.29512489
7/31/1990,-1.34512389
8/1/1990,-0.81512589
8/2/1990,-2.02512489
8/3/1990,6.28487511
8/6/1990,13.45487511
8/7/1990,10.29487511
8/8/1990,5.81487511
8/9/1990,1.93487411
8/10/1990,3.29487511
8/13/1990,3.28487511
8/14/1990,1.72487511
8/15/1990,0.85487411
8/16/1990,4.70487511
8/17/1990,5.07487611
8/20/1990,4.00487411
8/21/1990,6.44487511
8/22/1990,8.09487411
8/23/1990,14.01487611
8/24/1990,11.47487511
8/27/1990,7.17487411
8/28/1990,6.66487611
8/29/1990,4.92487411
8/30/1990,7.43487411
8/31/1990,7.44487511
9/4/1990,7.12487511
9/5/1990,6.06487511
9/6/1990,7.73487611
9/7/1990,6.27487511
9/10/1990,6.88487511
9/11/1990,5.92487411
9/12/1990,5.66487611
9/13/1990,6.87487511
9/14/1990,8.10487411
9/17/1990,7.09487411
9/18/1990,6.36487511
9/19/1990,5.42487411
9/20/1990,6.20487511
9/21/1990,7.58487611
9/24/1990,8.10487411
9/25/1990,6.35487411
9/26/1990,5.73487611
9/27/1990,6.21487511
9/28/1990,6.65487611
10/1/1990,5.60487411
10/2/1990,4.82487611
10/3/1990,5.44487511
10/4/1990,5.05487511
10/5/1990,5.39487511
10/8/1990,5.58487611
10/9/1990,8.25487411
10/10/1990,8.73487611
10/11/1990,11.52487511
10/12/1990,9.48487611
10/15/1990,9.18487411
10/16/1990,8.99487611
10/17/1990,8.91487611
10/18/1990,7.14487511
10/19/1990,5.40487611
10/22/1990,4.81487511
10/23/1990,5.11487511
10/24/1990,5.82487611
10/25/1990,6.58487611
10/26/1990,8.29487511
10/29/1990,9.08487611
10/30/1990,8.06487511
10/31/1990,7.58487611
11/1/1990,7.79487511
11/2/1990,7.57487611
11/5/1990,7.39487511
11/6/1990,6.65487611
11/7/1990,8.41487611
11/8/1990,8.33487611
11/9/1990,4.50487411
11/12/1990,3.14487511
11/13/1990,2.12487511
11/14/1990,0.43487411
11/15/1990,0.11487511
11/16/1990,-1.11512489
11/19/1990,-1.50512389
11/20/1990,-2.36512489
11/21/1990,-1.36512489
11/23/1990,-1.47512489
11/26/1990,0.30487511
11/27/1990,0.40487611
11/28/1990,0.50487411
11/29/1990,1.45487511
11/30/1990,-0.29512489
12/3/1990,-0.16512389
12/4/1990,-0.42512389
12/5/1990,-1.51512389
12/6/1990,0.16487611
12/7/1990,0.13487511
12/10/1990,1.12487511
12/11/1990,1.29487511
12/12/1990,-1.17512389
12/13/1990,0.59487411
12/14/1990,1.39487511
12/17/1990,2.39487511
12/18/1990,0.65487611
12/19/1990,0.62487511
12/20/1990,0.67487411
12/21/1990,0.20487511
12/24/1990,1.57487611
12/26/1990,1.72487511
12/27/1990,2.35487411
12/28/1990,2.59487411
12/31/1990,3.92487411
1/2/1991,4.16487611
1/3/1991,5.47487511
1/4/1991,4.73487611
1/7/1991,6.49487611
1/8/1991,7.92487411
1/9/1991,10.84487411
1/10/1991,8.87487511
1/11/1991,10.17487611
1/14/1991,13.74487611
1/15/1991,13.70487511
1/16/1991,10.74487611
1/17/1991,4.99487611
1/18/1991,2.93487411
1/21/1991,1.87487511
1/22/1991,2.44487511
1/23/1991,1.46487511
1/24/1991,0.40487611
1/25/1991,-0.25512389
1/28/1991,0.59487411
1/29/1991,0.71487511
1/30/1991,-1.08512389
1/31/1991,-1.54512489
2/1/1991,-1.41512389
2/4/1991,-0.59512389
2/5/1991,-0.99512589
2/6/1991,0.22487511
2/7/1991,1.14487511
2/8/1991,0.92487411
2/11/1991,0.10487411
2/12/1991,-0.19512489
2/13/1991,-1.59512389
2/14/1991,-0.97512489
2/15/1991,-2.88512489
2/19/1991,-2.61512489
2/20/1991,-0.19512489
2/21/1991,-1.67512389
2/22/1991,-1.44512489
2/25/1991,0.40487611
2/26/1991,-2.07512589
2/27/1991,-1.19512489
2/28/1991,-1.22512489
3/1/1991,-1.22512489
3/4/1991,-1.59512389
3/5/1991,-2.00512389
3/6/1991,-1.90512589
3/7/1991,-1.40512589
3/8/1991,-1.64512589
3/11/1991,-1.57512589
3/12/1991,-3.63512489
3/13/1991,-6.36512489
3/14/1991,-7.51512489
3/15/1991,-7.55512489
3/18/1991,-6.66512489
3/19/1991,-6.34512389
3/20/1991,-6.41512389
3/21/1991,-5.59512389
3/22/1991,-5.96512489
3/25/1991,-5.69512489
3/26/1991,-6.14512589
3/27/1991,-5.90512589
3/28/1991,-5.57512589
4/1/1991,-5.03512489
4/2/1991,-5.05512489
4/3/1991,-4.84512389
4/4/1991,-4.44512489
4/5/1991,-4.82512589
4/8/1991,-5.04512489
4/9/1991,-2.33512389
4/10/1991,-2.72512489
4/11/1991,-5.21512489
4/12/1991,-4.00512389
4/15/1991,-5.95512489
4/16/1991,-6.63512489
4/17/1991,-6.98512489
4/18/1991,-6.19512489
4/19/1991,-6.77512489
4/22/1991,-5.67512389
4/23/1991,-5.43512489
4/24/1991,-5.73512589
4/25/1991,-5.30512489
4/26/1991,-5.18512489
4/29/1991,-4.18512489
4/30/1991,-4.21512489
5/1/1991,-4.68512489
5/2/1991,-4.93512489
5/3/1991,-5.21512489
5/6/1991,-4.53512489
5/7/1991,-4.99512589
5/8/1991,-4.67512389
5/9/1991,-5.28512489
5/10/1991,-4.91512389
5/13/1991,-4.79512489
5/14/1991,-4.45512489
5/15/1991,-4.07512589
5/16/1991,-5.21512489
5/17/1991,-5.81512589
5/20/1991,-5.35512489
5/21/1991,-6.38512489
5/22/1991,-6.29512489
5/23/1991,-6.34512389
5/24/1991,-7.22512489
5/28/1991,-6.78512489
5/29/1991,-6.55512489
5/30/1991,-6.43512489
5/31/1991,-6.52512489
6/3/1991,-5.58512389
6/4/1991,-6.28512489
6/5/1991,-6.05512489
6/6/1991,-5.52512489
6/7/1991,-5.47512489
6/10/1991,-4.98512589
6/11/1991,-5.13512489
6/12/1991,-4.73512589
6/13/1991,-5.46512489
6/14/1991,-6.47512489
6/17/1991,-6.95512489
6/18/1991,-6.31512589
6/19/1991,-5.01512389
6/20/1991,-5.70512489
6/21/1991,-5.94512489
6/24/1991,-4.17512389
6/25/1991,-4.60512489
6/26/1991,-4.47512489
6/27/1991,-4.58512389
6/28/1991,-2.90512589
7/1/1991,-3.81512589
7/2/1991,-4.82512589
7/3/1991,-2.98512589
7/5/1991,-4.10512489
7/8/1991,-2.16512389
7/9/1991,-2.69512489
7/10/1991,-3.26512389
7/11/1991,-5.06512589
7/12/1991,-4.16512389
7/15/1991,-4.67512389
7/16/1991,-4.96512489
7/17/1991,-4.93512489
7/18/1991,-6.68512489
7/19/1991,-6.95512489
7/22/1991,-5.55512489
7/23/1991,-5.87512489
7/24/1991,-6.04512489
7/25/1991,-6.71512489
7/26/1991,-7.00512489
7/29/1991,-6.78512489
7/30/1991,-6.98512489
7/31/1991,-7.27512489
8/1/1991,-6.98512489
8/2/1991,-7.19512489
8/5/1991,-6.53512489
8/6/1991,-6.91512489
8/7/1991,-6.89512489
8/8/1991,-6.47512489
8/9/1991,-7.00512489
8/12/1991,-7.19512489
8/13/1991,-7.72512489
8/14/1991,-7.36512489
8/15/1991,-7.26512489
8/16/1991,-6.44512489
8/19/1991,-1.26512389
8/20/1991,-3.59512389
8/21/1991,-6.83512489
8/22/1991,-7.86512489
8/23/1991,-8.04512489
8/26/1991,-7.64512489
8/27/1991,-6.99512489
8/28/1991,-7.14512489
8/29/1991,-7.63512489
8/30/1991,-7.99512489
9/3/1991,-5.88512489
9/4/1991,-5.27512489
9/5/1991,-5.14512589
9/6/1991,-5.69512489
9/9/1991,-4.72512489
9/10/1991,-4.23512589
9/11/1991,-4.49512589
9/12/1991,-6.24512589
9/13/1991,-4.57512589
9/16/1991,-4.63512489
9/17/1991,-4.77512489
9/18/1991,-4.89512589
9/19/1991,-4.89512589
9/20/1991,-5.37512489
9/23/1991,-6.07512589
9/24/1991,-6.41512389
9/25/1991,-6.77512489
9/26/1991,-7.10512489
9/27/1991,-6.14512589
9/30/1991,-6.60512489
10/1/1991,-7.64512489
10/2/1991,-6.64512489
10/3/1991,-5.41512389
10/4/1991,-6.82512489
10/7/1991,-3.87512489
10/8/1991,-4.64512589
10/9/1991,-3.91512389
10/10/1991,-4.65512589
10/11/1991,-4.85512489
10/14/1991,-5.74512589
10/15/1991,-6.23512589
10/16/1991,-7.60512489
10/17/1991,-6.13512489
10/18/1991,-6.58512489
10/21/1991,-5.79512489
10/22/1991,-5.90512589
10/23/1991,-6.19512489
10/24/1991,-6.83512489
10/25/1991,-6.70512489
10/28/1991,-7.00512489
10/29/1991,-6.90512489
10/30/1991,-6.99512489
10/31/1991,-6.97512489
11/1/1991,-6.85512489
11/4/1991,-6.10512489
11/5/1991,-5.97512489
11/6/1991,-5.98512589
11/7/1991,-6.48512489
11/8/1991,-7.02512489
11/11/1991,-7.56512489
11/12/1991,-8.41512489
11/13/1991,-8.50512489
11/14/1991,-8.49512489
11/15/1991,-1.27512489
11/18/1991,-4.17512389
11/19/1991,-2.11512489
