Date,PCR
1993/1/29,-1.741389001
1993/2/1,-1.738526165
1993/2/2,-1.733870257
1993/2/3,-1.729721325
1993/2/4,-1.730198878
1993/2/5,-1.729181424
1993/2/8,-1.728160441
1993/2/9,-1.731631242
1993/2/10,-1.734670887
1993/2/11,-1.732450132
1993/2/12,-1.732022946
1993/2/15,#N/A
1993/2/16,-1.739117669
1993/2/17,-1.73874498
1993/2/18,-1.740808789
1993/2/19,-1.741978809
1993/2/22,-1.745318552
1993/2/23,-1.747660482
1993/2/24,-1.742036857
1993/2/25,-1.741872049
1993/2/26,-1.74179594
1993/3/1,-1.742662009
1993/3/2,-1.736285879
1993/3/3,-1.735782854
1993/3/4,-1.744817103
1993/3/5,-1.745038135
1993/3/8,-1.734275925
1993/3/9,-1.734858882
1993/3/10,-1.731924379
1993/3/11,-1.730067242
1993/3/12,-1.736996544
1993/3/15,-1.735524896
1993/3/16,-1.735456167
1993/3/17,-1.738842988
1993/3/18,-1.739728347
1993/3/19,-1.743157271
1993/3/22,-1.7401349
1993/3/23,-1.740228058
1993/3/24,-1.741875957
1993/3/25,-1.742103215
1993/3/26,-1.744989503
1993/3/29,-1.742002274
1993/3/30,-1.7397189
1993/3/31,-1.743180456
1993/4/1,-1.745494309
1993/4/2,-1.755221786
1993/4/5,-1.750727028
1993/4/6,-1.747685784
1993/4/7,-1.746292854
1993/4/8,-1.746103676
1993/4/9,#N/A
1993/4/12,-1.743048829
1993/4/13,-1.742402148
1993/4/14,-1.742427276
1993/4/15,-1.739572564
1993/4/16,-1.736574903
1993/4/19,-1.73845635
1993/4/20,-1.740520209
1993/4/21,-1.741438442
1993/4/22,-1.745514566
1993/4/23,-1.748179164
1993/4/26,-1.752896576
1993/4/27,-1.747696361
1993/4/28,-1.748107812
1993/4/29,-1.751205487
1993/4/30,-1.749745256
1993/5/3,-1.747937686
1993/5/4,-1.743581768
1993/5/5,-1.742500156
1993/5/6,-1.744989532
1993/5/7,-1.745404893
1993/5/10,-1.743799423
1993/5/11,-1.741554561
1993/5/12,-1.741410862
1993/5/13,-1.742689299
1993/5/14,-1.741126519
1993/5/17,-1.739742349
1993/5/18,-1.738241408
1993/5/19,-1.729192196
1993/5/20,-1.731521924
1993/5/21,-1.735750512
1993/5/24,-1.730829428
1993/5/25,-1.731446123
1993/5/26,-1.72429359
1993/5/27,-1.725326436
1993/5/28,-1.725931461
1993/6/1,-1.722236921
1993/6/2,-1.720916222
1993/6/3,-1.719465335
1993/6/4,-1.722729706
1993/6/7,-1.722923647
1993/6/8,-1.726464379
1993/6/9,-1.724882595
1993/6/10,-1.720315717
1993/6/11,-1.716111196
1993/6/14,-1.715432175
1993/6/15,-1.711795735
1993/6/16,-1.713113897
1993/6/17,-1.711509234
1993/6/18,-1.718247832
1993/6/21,-1.717032648
1993/6/22,-1.714332578
1993/6/23,-1.718955306
1993/6/24,-1.715897098
1993/6/25,-1.716024306
1993/6/28,-1.712077752
1993/6/29,-1.713010961
1993/6/30,-1.713626371
1993/7/1,-1.713586102
1993/7/2,-1.715496566
1993/7/5,#N/A
1993/7/6,-1.725653066
1993/7/7,-1.720994331
1993/7/8,-1.713024897
1993/7/9,-1.712114066
1993/7/12,-1.712294633
1993/7/13,-1.711601655
1993/7/14,-1.703944288
1993/7/15,-1.706214108
1993/7/16,-1.703899191
1993/7/19,-1.713080476
1993/7/20,-1.708316995
1993/7/21,-1.70967295
1993/7/22,-1.711467885
1993/7/23,-1.712099763
1993/7/26,-1.712190892
1993/7/27,-1.717246784
1993/7/28,-1.715819372
1993/7/29,-1.712825098
1993/7/30,-1.711967851
1993/8/2,-1.712840552
1993/8/3,-1.712374674
1993/8/4,-1.711921527
1993/8/5,-1.709233587
1993/8/6,-1.70848597
1993/8/9,-1.707709736
1993/8/10,-1.706473428
1993/8/11,-1.71114866
1993/8/12,-1.71364687
1993/8/13,-1.71387525
1993/8/16,-1.709163393
1993/8/17,-1.709211728
1993/8/18,-1.703969794
1993/8/19,-1.704138559
1993/8/20,-1.705076435
1993/8/23,-1.708370579
1993/8/24,-1.70196652
1993/8/25,-1.700130952
1993/8/26,-1.70048098
1993/8/27,-1.707058019
1993/8/30,-1.705359909
1993/8/31,-1.69919473
1993/9/1,-1.696153387
1993/9/2,-1.698206522
1993/9/3,-1.696758024
1993/9/6,#N/A
1993/9/7,-1.690910797
1993/9/8,-1.693416363
1993/9/9,-1.691162244
1993/9/10,-1.686139911
1993/9/13,-1.688130343
1993/9/14,-1.688758351
1993/9/15,-1.686943505
1993/9/16,-1.687515606
1993/9/17,-1.6949328
1993/9/20,-1.703888347
1993/9/21,-1.705179711
1993/9/22,-1.697421505
1993/9/23,-1.697346397
1993/9/24,-1.697381946
1993/9/27,-1.69129705
1993/9/28,-1.69342182
1993/9/29,-1.702764085
1993/9/30,-1.706167884
